number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
296,-0.5987908126694289,2025-12-04 13:36:47.827630,2025-12-04 13:37:08.914270,0 days 00:00:21.086640,0.8834183066959306,0.11040743747957077,0.08873168305827234,8,6,8,415,4.307386016968873,3.0643775214499875,1.2805662947897904,0.6397352297015604,3.4533752034795837,0.5070144074853575,1.8430541851344155,COMPLETE
297,-0.5847476207192481,2025-12-04 13:36:48.731994,2025-12-04 13:37:09.255999,0 days 00:00:20.524005,0.8791988625743874,0.1299854341690815,0.08834675103799644,10,6,8,413,4.27525892462136,3.069101900929528,1.0946099001743608,0.6367426310114268,2.364198996977044,0.5138915402770051,1.82010282199014,COMPLETE
298,-0.601613491548973,2025-12-04 13:36:49.101231,2025-12-04 13:37:09.110020,0 days 00:00:20.008789,0.8827094561097492,0.006781404923582949,0.08883789679528277,10,6,8,399,4.226920798154093,3.0919550529035997,1.25882813210546,0.6373854824928366,3.4412915994593605,0.5076937053123055,1.620925675366566,COMPLETE
299,-0.6011581930623158,2025-12-04 13:36:49.275379,2025-12-04 13:37:08.870679,0 days 00:00:19.595300,0.8916312334285241,0.10580105561209097,0.08975541294027378,10,6,9,400,4.222587046962086,3.0851309344502793,1.2461123098613571,0.6931598284082776,3.44144140494444,0.5142484588186993,1.8220219743652946,COMPLETE
300,-0.5891168008857058,2025-12-04 13:36:49.572361,2025-12-04 13:37:10.863238,0 days 00:00:21.290877,0.888839304441549,0.007499856552940123,0.020064469221814474,10,6,9,403,4.308534972942107,3.342549841731949,1.282099581914806,0.6349892568489478,3.428153278842183,0.510117887923479,1.8237059071874944,COMPLETE
301,-0.599000545573428,2025-12-04 13:36:49.695268,2025-12-04 13:37:12.671400,0 days 00:00:22.976132,0.889762471508223,0.14312231058910396,0.08762886406941145,9,7,9,395,4.188485241732594,3.3177663579655428,1.271340905016801,0.6371392344853681,3.428305987274384,0.5104010727365964,1.6294723982035375,COMPLETE
302,-0.6010464807516374,2025-12-04 13:36:49.774561,2025-12-04 13:37:09.215486,0 days 00:00:19.440925,0.8888752150259466,0.003982321667901242,0.09008800432237618,10,6,8,392,4.248906926887204,3.038201858514349,1.2678921837703123,0.6948574552483964,3.441764376166445,0.5083967673719981,1.6077088954372611,COMPLETE
303,-0.6003237099558582,2025-12-04 13:36:49.818297,2025-12-04 13:37:09.770515,0 days 00:00:19.952218,0.8829231888365459,0.012897524144642777,0.08950692243183327,10,6,9,397,4.293182517812875,3.090260714944805,1.0947631765838006,0.6356076085795324,3.433051439749294,0.513380507696311,1.6231766714586167,COMPLETE
304,-0.5981556240247927,2025-12-04 13:36:50.242722,2025-12-04 13:37:10.623891,0 days 00:00:20.381169,0.8876377639488348,0.1185031339467609,0.08846955191036593,10,6,9,403,4.143824317028856,3.086348354509236,1.2641112911716215,0.6383801962411297,3.452001811638403,0.5108047765502853,1.602736270143306,COMPLETE
305,-0.5677265952175721,2025-12-04 13:36:50.461864,2025-12-04 13:37:07.186138,0 days 00:00:16.724274,0.8809084535349326,0.0026248829876908963,0.08761827146861459,10,6,9,395,4.244770049493267,3.35310313159072,1.3031876182748274,0.6378930821537993,2.2919595608079923,0.7775921505437562,1.6213530665784996,COMPLETE
306,-0.6021362268784977,2025-12-04 13:36:50.505672,2025-12-04 13:37:10.517165,0 days 00:00:20.011493,0.8892439111979036,0.0036370204919993045,0.09010772681697761,10,6,9,396,4.31018822368767,3.321710825078574,1.304375837317418,0.6378199112411843,3.446981998802524,0.500137403629617,1.6237335592855209,COMPLETE
307,-0.6035972636222104,2025-12-04 13:36:52.336871,2025-12-04 13:37:12.432018,0 days 00:00:20.095147,0.8861073322219557,0.16984923252603423,0.0889966659534237,10,6,9,400,4.274123202863274,3.1085993444671307,1.2849993526295287,0.6364676056831065,3.440934190542518,0.5073152887884432,1.5894600748621686,COMPLETE
308,-0.6028970330919995,2025-12-04 13:36:52.515871,2025-12-04 13:37:12.383961,0 days 00:00:19.868090,0.889430288838127,0.12460179536229282,0.09029062609962583,8,6,9,398,4.233530203520465,3.3131390387210793,1.2655133239779341,0.6368342020738962,3.4373618013654372,0.5053628420368586,1.5759429805588472,COMPLETE
309,-0.579197715743399,2025-12-04 13:36:52.972633,2025-12-04 13:37:13.698136,0 days 00:00:20.725503,0.8890649452331569,0.11811492504696697,0.08895850885321602,10,6,9,410,4.277286145023254,3.1329979800736236,1.2545712721203315,0.6355081915575097,3.444497616591833,0.8597588674006619,1.5708159510695145,COMPLETE
310,-0.6020979717528151,2025-12-04 13:36:54.634893,2025-12-04 13:37:14.170574,0 days 00:00:19.535681,0.8896224943250067,0.006099649084689594,0.0891995622581534,10,6,9,394,4.171392000562214,3.131265824956251,1.285653108235788,0.7255278104837901,3.4418466506861902,0.5041186028649928,1.5921359064615028,COMPLETE
311,-0.5885465771736167,2025-12-04 13:36:58.860012,2025-12-04 13:37:18.813793,0 days 00:00:19.953781,0.8894625455410494,0.003246950802640286,0.09072817393572566,10,6,9,394,4.277335796094052,3.320137351366617,1.234352447898119,0.6373867826781483,2.310926568319827,0.5012362581959242,1.5916979264252733,COMPLETE
312,-0.6012456414713695,2025-12-04 13:36:59.756960,2025-12-04 13:37:19.965524,0 days 00:00:20.208564,0.8903720262080648,0.11286843450299618,0.0903213391765334,10,6,9,396,4.257693972432973,3.287720011935132,1.259259809254045,0.6343874457647608,3.4378153163603207,0.5000195679808116,1.5768272996571058,COMPLETE
313,-0.6003829409564143,2025-12-04 13:36:59.845960,2025-12-04 13:37:19.321283,0 days 00:00:19.475323,0.8940653544748692,0.005080068467311037,0.09047401256207548,10,6,8,395,4.3054507696746604,3.350753467433943,1.2768604720474548,0.7244282402097539,3.442563441716642,0.5065295596360837,1.5758094825824265,COMPLETE
314,-0.6000150360975157,2025-12-04 13:37:04.455911,2025-12-04 13:37:24.462144,0 days 00:00:20.006233,0.892760937409038,0.002490500143407917,0.09097473261134198,10,6,9,400,4.256233196929369,3.250672355149713,1.2508659260483481,0.6341817838951656,3.4478017348768097,0.49838205481266834,1.5840486980248722,COMPLETE
315,-0.602014694542837,2025-12-04 13:37:05.326142,2025-12-04 13:37:24.829616,0 days 00:00:19.503474,0.8905034054463224,0.12585656095098885,0.092741904597303,10,6,9,395,4.197713634926918,3.2787644813986865,1.283197589934782,0.7189705093391278,3.4407472151235563,0.49921177130716754,1.5883923203256323,COMPLETE
316,-0.6011266236496783,2025-12-04 13:37:05.986502,2025-12-04 13:37:25.734148,0 days 00:00:19.747646,0.8918175822994058,0.022173097803135616,0.09098832758224856,10,6,9,402,4.141542269937366,3.1778313082236327,1.2316609806447265,0.7224107229143755,3.4425650652250255,0.5029846593089383,1.5622084880880953,COMPLETE
317,-0.5791633645078731,2025-12-04 13:37:06.251779,2025-12-04 13:37:25.827477,0 days 00:00:19.575698,0.8841063016353974,0.011965783759370935,0.09095776344065737,10,6,8,395,4.189633581334555,3.2313985040945967,1.248942823129628,0.7166669585531035,3.425179667674646,0.8634454294967557,1.5860145161341883,COMPLETE
318,-0.5905459388769789,2025-12-04 13:37:06.625927,2025-12-04 13:37:27.672323,0 days 00:00:21.046396,0.8921859286080283,0.005285098915615939,0.020922221299410296,10,6,9,396,4.246106510435345,3.184299350989627,1.2499238496388054,0.6319882376858338,2.980773217868213,0.5063929551897604,1.5511880722817188,COMPLETE
319,-0.6009353849931526,2025-12-04 13:37:07.188760,2025-12-04 13:37:27.003924,0 days 00:00:19.815164,0.8950874133839967,0.0011445899405825716,0.09104580060029448,10,6,9,398,4.225372012719871,3.2570815656553425,1.235594237621451,0.6322271143914837,3.440815981362655,0.5009377239222339,1.5722930363940981,COMPLETE
320,-0.5892784781552359,2025-12-04 13:37:07.624879,2025-12-04 13:37:28.258580,0 days 00:00:20.633701,0.8883246983506502,0.1068399163644182,0.020034581344267763,8,6,9,401,4.1614945111073025,3.3076230296284312,1.2483139836174553,0.7200794984267704,3.441303480333057,0.5000994289409333,1.5751840452264332,COMPLETE
321,-0.5893611973536177,2025-12-04 13:37:08.873183,2025-12-04 13:37:29.582686,0 days 00:00:20.709503,0.8950067763162589,0.0925243725634632,0.020541332068812413,10,6,8,396,4.298200034394838,3.311598106025594,1.254531925705853,0.6340401907178854,3.4415540758910614,0.4995239834081889,1.5747776308046704,COMPLETE
322,-0.5997767740101132,2025-12-04 13:37:08.916713,2025-12-04 13:37:28.818877,0 days 00:00:19.902164,0.8942872056821489,0.10493988759736739,0.09091181229179407,8,6,8,397,4.296778257850617,3.24247138429249,1.2598312180452593,0.6327015660165394,2.9623367880386002,0.4989426951207178,1.563547094901784,COMPLETE
323,-0.5988157241725157,2025-12-04 13:37:09.112748,2025-12-04 13:37:28.560717,0 days 00:00:19.447969,0.8865994932243932,0.8458800190003667,0.0921204058970633,10,6,9,397,4.200126028207434,3.2743477337960294,1.2524816845922864,0.6919541727117949,3.293569531359425,0.5023254716179891,1.579363421686127,COMPLETE
324,-0.591136612682089,2025-12-04 13:37:09.218519,2025-12-04 13:37:28.598389,0 days 00:00:19.379870,0.8928241447131176,0.11196991192424278,0.09154684684874624,10,6,9,390,4.17893568682662,3.2708234265003493,1.252392852338906,0.631000787960665,3.281957948479568,0.5001424002651921,1.0535547565888022,COMPLETE
325,-0.6009660427688842,2025-12-04 13:37:09.259837,2025-12-04 13:37:28.571007,0 days 00:00:19.311170,0.8932760232846483,0.6770440544971489,0.08996245642526302,10,6,9,389,4.175003855526879,3.2424895490865406,1.2480042056587644,0.6332729848905465,3.417673346058632,0.5054105577329058,1.5895234484668932,COMPLETE
326,-0.5999409969781885,2025-12-04 13:37:09.773433,2025-12-04 13:37:29.355498,0 days 00:00:19.582065,0.8935981724286659,0.0943772826369961,0.0919150526020177,10,6,9,391,4.203867918622331,3.248247975730739,1.2440751464043593,0.6314414900736344,3.415848929665164,0.5073703844157683,1.5902822228984725,COMPLETE
327,-0.599759858623212,2025-12-04 13:37:10.519727,2025-12-04 13:37:29.976556,0 days 00:00:19.456829,0.8993791745931644,0.007188328134741907,0.09304825240607291,10,6,9,390,4.146172636446443,3.2788171430127298,1.258531086584023,0.6318365446255179,3.4056094161558286,0.5029740848889949,1.5804572139840436,COMPLETE
328,-0.5869671198674139,2025-12-04 13:37:10.627008,2025-12-04 13:37:30.069805,0 days 00:00:19.442797,0.8952258298907726,0.002646253255003122,0.09161167148398804,10,6,9,391,4.330050358032281,3.286002782116092,1.2419619414614393,0.6319824243677459,3.2767468430072104,0.5000718053585844,1.0340384781212109,COMPLETE
329,-0.6006380795245774,2025-12-04 13:37:10.865970,2025-12-04 13:37:30.629952,0 days 00:00:19.763982,0.8939959923726066,0.00331250170999535,0.09061202811210307,10,6,9,391,4.19994031670193,3.2151531177038004,1.2528159550638767,0.6311264981718343,3.319562103311242,0.5025174934503668,1.5757746501496044,COMPLETE
330,-0.6010471874072247,2025-12-04 13:37:12.386814,2025-12-04 13:37:31.897702,0 days 00:00:19.510888,0.8952660773640341,0.09030170186905127,0.09227927779408514,10,6,9,388,4.194227193086202,3.2646192255596294,1.244691330010572,0.6313965150098655,3.2929333973640245,0.49870679292791403,1.576576057879579,COMPLETE
331,-0.6014549505256336,2025-12-04 13:37:12.435404,2025-12-04 13:37:32.166504,0 days 00:00:19.731100,0.8948955265072985,0.6727761671186323,0.09252029505683927,10,6,9,398,4.181763168082972,3.3357526643064284,1.2504259024296795,0.7166207139304571,3.267549508257673,0.5006607822359586,1.5781013397269583,COMPLETE
