number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
101,-0.715445940134472,2025-12-07 14:59:15.517112,2025-12-07 14:59:45.592328,0 days 00:00:30.075216,2.14107758412265,0.7906647600591595,0.7574247414889163,0.0704444386898964,8,6,15,288,4.562069567510816,0.25507596776421754,0.7827575015054239,0.8514139254752875,0.5673278468086809,COMPLETE
102,-0.7181890918399345,2025-12-07 14:59:15.678156,2025-12-07 14:59:41.439401,0 days 00:00:25.761245,2.2443393338112037,0.7763506069998998,0.7602261763041569,0.07910587457437646,8,4,17,294,4.697738026980484,0.23571435522622466,0.790607604536614,0.8598472609825217,0.4241906791323039,COMPLETE
103,-0.7194288900487557,2025-12-07 14:59:17.874804,2025-12-07 14:59:43.504437,0 days 00:00:25.629633,2.2555600520854915,0.7765660503426898,0.7891615141213804,0.07624456946661771,8,4,17,292,4.504919527653838,0.23683006804384862,0.860896276199599,0.8571914928901649,0.5684794756811039,COMPLETE
104,-0.7160694554209068,2025-12-07 14:59:17.948218,2025-12-07 14:59:44.602487,0 days 00:00:26.654269,2.708931255791687,0.7877612125617129,0.7858558802248846,0.07707307211274876,8,4,17,307,4.620637828038308,0.2569239985329743,0.8478904027825407,0.8518576103888365,0.42189399123552757,COMPLETE
105,-0.7190231510429619,2025-12-07 14:59:19.055837,2025-12-07 14:59:44.389868,0 days 00:00:25.334031,2.325188929220504,0.7895429387035721,1.177940983556967,0.07507535241558787,8,4,17,290,4.595861550005187,0.2056447580836333,0.7979936589446451,0.8612050173618864,0.5614982944231747,COMPLETE
106,-0.7217896504325971,2025-12-07 14:59:19.435253,2025-12-07 14:59:52.420425,0 days 00:00:32.985172,2.337603508042852,0.779463030011849,1.1509761900912685,0.07836260278739897,8,10,15,296,3.582069819335786,0.687733627609384,0.8368298046689289,0.846254771827127,0.4332433995214419,COMPLETE
107,-0.7216067486034856,2025-12-07 14:59:19.901743,2025-12-07 14:59:52.995729,0 days 00:00:33.093986,2.338082559930917,0.7863899006937136,0.753202873856287,0.0790271022590101,8,10,15,282,4.777969758981366,0.20968252519412606,0.817428711663987,0.851880183627445,0.5465117974636747,COMPLETE
108,-0.721232128137509,2025-12-07 14:59:20.136827,2025-12-07 14:59:52.538881,0 days 00:00:32.402054,2.3459679678054375,0.7773463692773961,0.754072332778853,0.07698705383892177,8,10,15,300,4.662133632142612,0.20126144752018987,0.8004043668359444,0.8538527605015478,0.4245543162562982,COMPLETE
109,-0.7179146043422582,2025-12-07 14:59:20.715033,2025-12-07 14:59:49.826443,0 days 00:00:29.111410,2.2760505458125095,0.7732665070542638,0.8265154123972593,0.0773502736055312,8,4,15,336,4.899027680516035,0.2061689749152204,0.821794696511022,0.8544621889258486,0.4249596135835152,COMPLETE
110,-0.7230815084549234,2025-12-07 14:59:21.797483,2025-12-07 14:59:51.701248,0 days 00:00:29.903765,2.3504769635188216,0.7775280837830488,0.8274280905763607,0.07735650698470044,8,10,16,292,4.447136581568283,0.6685273529722942,0.9407915433887256,0.8473363225586369,0.567314300971876,COMPLETE
111,-0.7176010176228453,2025-12-07 14:59:22.080233,2025-12-07 14:59:47.138391,0 days 00:00:25.058158,2.3801382256977606,0.7778272825459157,0.7582083699997477,0.07890439938090778,8,4,15,284,3.64199088190391,0.6290554621249919,0.8135422404661848,0.8482552404302005,0.4274642677689784,COMPLETE
112,-0.7179088808112207,2025-12-07 14:59:25.990677,2025-12-07 14:59:50.246344,0 days 00:00:24.255667,2.276330525681838,0.7893379232196681,0.7175590448245192,0.07874397427404775,8,4,15,274,3.6286159625038175,0.6956980440953827,0.8136540761956953,0.8603800594957012,0.5712772101617529,COMPLETE
113,-0.7189828218867896,2025-12-07 14:59:28.819755,2025-12-07 14:59:53.856330,0 days 00:00:25.036575,2.269100770086381,0.7761438510465511,0.27871955944229954,0.06092809854273414,3,4,16,281,4.440164626672031,0.6499996726891653,0.8434565574566434,0.8525938442209062,0.5650068272701654,COMPLETE
114,-0.7228896214875468,2025-12-07 14:59:30.111001,2025-12-07 15:00:04.365171,0 days 00:00:34.254170,2.5945099371867215,0.7759396159282361,0.28956000182662833,0.07709975595713839,3,10,16,285,4.626345662213466,0.6280294926813458,0.8227567103287909,0.8540140018344127,0.5655253720531506,COMPLETE
