number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
223,-0.7098707268457624,2025-12-07 13:28:58.019694,2025-12-07 13:29:20.266616,0 days 00:00:22.246922,0.762147355723283,1.5877006136422045,0.07408114684672816,3,6,9,426,4.643734889877102,2.6397852812324376,1.5510704460521287,0.764753753129071,1.1919013992262046,1.0060508610483372,COMPLETE
224,-0.7067867510801357,2025-12-07 13:28:58.102889,2025-12-07 13:29:34.239228,0 days 00:00:36.136339,0.8709681462995985,1.0096607940869071,0.04863465698685219,3,6,6,709,4.1985553792872805,0.14656800668918102,1.3374504210854794,0.7660608824170773,0.8733962175807466,0.9815517696473234,COMPLETE
225,-0.700498593609837,2025-12-07 13:28:58.675240,2025-12-07 13:29:07.428590,0 days 00:00:08.753350,0.7639107460572824,0.3351964262184697,0.05323489897161223,3,6,9,148,2.280978476283252,0.6353124604084273,1.426994506018461,0.8534581884834479,1.1560377575304757,0.9815979636722072,COMPLETE
226,-0.7090772175165717,2025-12-07 13:29:00.338381,2025-12-07 13:29:23.410611,0 days 00:00:23.072230,0.7370557231743143,1.0308610802850768,0.07442009270199801,6,7,9,404,4.654332965405143,3.0214183116069555,1.4441506816476126,0.850308039296598,1.1844304605868194,0.9807191705882863,COMPLETE
227,-0.7101352208716291,2025-12-07 13:29:00.704778,2025-12-07 13:29:19.139621,0 days 00:00:18.434843,0.7959419447633191,0.35925716696189985,0.07477195087317613,6,7,9,316,4.629393742756633,0.5266455196742312,1.4176677575150947,0.8530827245293015,1.2515516288422872,0.9799299435928913,COMPLETE
228,-0.6945801964523213,2025-12-07 13:29:01.553827,2025-12-07 13:29:09.153877,0 days 00:00:07.600050,0.7376694985908234,0.14915790326020545,0.05268560706435929,7,7,9,456,4.610335123203573,0.4600536809794109,1.4384376380774209,0.8539667535413645,1.2550601133967398,0.9358773694915565,COMPLETE
229,-0.6830512327981934,2025-12-07 13:29:02.418567,2025-12-07 13:29:07.829748,0 days 00:00:05.411181,0.7359377628144333,0.36555826333704117,0.07605641689050534,7,7,8,168,4.625946112103971,2.6663564666952504,1.4305649854328928,0.8532545482188894,1.2596850255566658,0.9342740943748215,COMPLETE
230,-0.7047101295244635,2025-12-07 13:29:03.099965,2025-12-07 13:29:12.686780,0 days 00:00:09.586815,0.8302030100655717,0.3887023401090464,0.04889639442585897,9,8,8,121,2.3212496134055502,0.501542320862253,1.4406955939716495,0.808286795568148,1.006561431559226,0.876989867029977,COMPLETE
231,-0.7089066407289665,2025-12-07 13:29:03.136821,2025-12-07 13:29:16.579804,0 days 00:00:13.442983,0.7352868914463598,0.7219719923354221,0.07410542152134561,7,8,8,193,4.61216325032976,1.1896165170741588,1.4453011941095932,0.8483194110688234,1.056631361087805,0.9351804211201253,COMPLETE
232,-0.706383127776074,2025-12-07 13:29:05.074202,2025-12-07 13:29:50.061597,0 days 00:00:44.987395,0.7820949769679564,0.38051647526163673,0.043660988600925765,7,8,8,707,4.643578697520206,1.1537317333389516,1.4571514198721334,0.7632180164385423,1.1417873749814103,0.8735616660990732,COMPLETE
233,-0.7061615946436204,2025-12-07 13:29:05.189127,2025-12-07 13:29:26.507942,0 days 00:00:21.318815,0.8349454936797199,0.4083917877104502,0.05363188394605199,7,8,8,427,4.587894454690076,0.9880868518631925,1.445938694327187,0.7159841440139575,1.146719256717986,0.8688893322757751,COMPLETE
234,-0.6919062530693135,2025-12-07 13:29:07.418961,2025-12-07 13:29:14.693848,0 days 00:00:07.274887,0.8273835255378535,0.3804384192471707,0.04801257976578298,7,7,8,320,4.679887359318881,2.163922651456021,1.440331346634319,0.8065229581855466,1.1518747632386506,0.8393832673266021,COMPLETE
235,-0.7098088054519406,2025-12-07 13:29:07.437064,2025-12-07 13:29:33.028152,0 days 00:00:25.591088,0.8497408242221892,0.41267647078877023,0.0478184935340095,6,7,8,439,4.442561028970141,1.219915121277266,1.4526909396868044,0.7686286555921443,1.005271080539348,0.9356542736898794,COMPLETE
