number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
99,-0.7280212671109918,2025-12-07 14:19:33.759471,2025-12-07 14:20:27.446369,0 days 00:00:53.686898,4.262782514476369,0.8200590629150744,0.46179754912392673,0.03676741910118697,5,7,20,529,1.0599032952859624,2.4948578637494903,2.8594685632324963,0.7896084224209583,0.31834708797763556,COMPLETE
100,-0.7254001161706158,2025-12-07 14:19:35.796614,2025-12-07 14:20:23.563911,0 days 00:00:47.767297,4.333350769346924,0.738018779012297,0.49924935891085614,0.04283055870977064,5,7,20,491,4.9293478407270275,2.4918119393084597,3.3808455229674013,0.79510552604411,0.27637183188643405,COMPLETE
101,-0.7257985117879019,2025-12-07 14:19:37.466194,2025-12-07 14:20:24.346316,0 days 00:00:46.880122,4.0899024062408715,0.7314521263918209,0.5613071961184846,0.03624472701520279,5,7,15,412,1.1074630858575585,2.278422932691157,4.206761518590095,0.7903755443417045,0.31954498626795924,COMPLETE
102,-0.7240867371895872,2025-12-07 14:19:40.680685,2025-12-07 14:20:32.119119,0 days 00:00:51.438434,5.378175404199766,0.8212566192889865,0.5323306386378257,0.035570418273889425,5,7,15,499,2.772256254889784,2.327554622142615,3.3846704081336134,0.7866245565973127,0.2847416119149959,COMPLETE
103,-0.7232313460643258,2025-12-07 14:19:41.333163,2025-12-07 14:20:29.187924,0 days 00:00:47.854761,5.490939850687123,0.7368625962757275,0.5811932073316676,0.03657651033692754,4,8,20,489,4.836639843748149,2.3928455299980005,4.248056825683103,0.7911701006284078,0.27728253412882903,COMPLETE
104,-0.7267508048478224,2025-12-07 14:19:43.967875,2025-12-07 14:20:18.365994,0 days 00:00:34.398119,4.362870708113456,0.7322261243754179,1.4143719967387571,0.07420530152812822,5,7,20,475,4.915201495439436,2.313297748133222,2.817845250670881,0.6157375110101455,0.28172749655669294,COMPLETE
105,-0.7271773651786992,2025-12-07 14:19:44.225382,2025-12-07 14:20:38.270061,0 days 00:00:54.044679,4.362399575408238,0.7312141276115312,1.4344005986238049,0.0373049501835878,5,7,20,488,4.910803728442358,3.213510738807292,2.8124989190492062,0.792685791769901,0.2869430745563776,COMPLETE
106,-0.7266765207696493,2025-12-07 14:19:49.909476,2025-12-07 14:20:26.924700,0 days 00:00:37.015224,4.200316106301179,0.7284132147201442,1.3759341265342766,0.06487082481394296,5,7,20,495,3.884298451353394,2.43782222062464,2.7719418984211455,0.6647388888821502,0.2725974556504037,COMPLETE
107,-0.7266638775205343,2025-12-07 14:19:50.190024,2025-12-07 14:20:20.469662,0 days 00:00:30.279638,4.241714883744923,0.817471172279184,1.3994724782426065,0.07375458008244862,5,7,20,471,4.075592228729011,2.4767578556784597,2.859804405891934,0.6747606028679153,0.2778075243602105,COMPLETE
108,-0.7260902020213185,2025-12-07 14:19:50.670892,2025-12-07 14:20:24.882787,0 days 00:00:34.211895,4.289294305141165,0.6977017164488678,0.12132080159584474,0.06420685771850639,5,7,20,459,3.8314420464908174,2.862503997144504,2.8269616510958584,0.673443124715074,0.2719423749471429,COMPLETE
